Index,Ni,Pd,Pt,Ru
316,11.15,53.81,23.03,12.02
317,9.55,51.17,24.73,14.54
318,9.75,49.16,26.86,14.24
319,9.14,46.71,28.1,16.06
320,8.72,43.83,30.47,16.98
321,7.74,41.73,32.43,18.1
322,7.4,38.14,35.49,18.97
323,7.41,35.21,37.38,20.0
324,6.89,32.59,39.33,21.19
325,10.71,62.05,18.81,8.44
326,10.21,60.18,20.24,9.37
327,9.86,57.83,22.27,10.04
328,9.71,54.91,23.86,11.52
329,8.76,53.26,25.71,12.28
330,8.75,50.78,27.75,12.72
331,8.75,48.09,29.18,13.98
332,8.43,45.06,31.6,14.91
333,7.77,42.56,33.74,15.93
334,6.68,39.9,35.89,17.53
335,7.22,36.2,38.06,18.52
336,9.26,59.43,22.12,9.19
337,8.74,57.88,24.08,9.3
338,8.58,55.14,25.59,10.69
339,7.62,52.9,27.86,11.61
340,8.46,49.53,29.55,12.46
341,8.28,46.69,31.86,13.17
342,6.62,44.26,34.77,14.36
